agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_url
nmbssncb,016AB3,"",gr:nmbssncb:693,Bruxelles-Nord -- Mons,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:694,Bruxelles-Nord -- Marloie,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:695,Mol -- Louvain,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:696,Herentals -- Louvain,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:697,Courtrai -- Poperinge,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:698,Libramont -- Arlon,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:699,Gand-Saint-Pierre -- Renaix,EXT,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:7,Tournai -- Mouscron,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:70,Pétange (LU) -- Athus,BUS,FFFFFF,3,""
nmbssncb,F16122,"",gr:nmbssncb:700,Gand-Saint-Pierre -- Grammont,S52,FFFFFF,2,""
nmbssncb,F16122,"",gr:nmbssncb:701,Zottegem -- Grammont,S52,FFFFFF,2,""
nmbssncb,F16122,"",gr:nmbssncb:702,Merelbeke -- Grammont,S52,FFFFFF,2,""
nmbssncb,F16122,"",gr:nmbssncb:703,Gand-Saint-Pierre -- Zottegem,S52,FFFFFF,2,""
nmbssncb,F16122,"",gr:nmbssncb:704,Eeklo -- Grammont,S52,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:705,Louvain-la-Neuve -- Zottegem,L,FFFFFF,2,""
nmbssncb,F16122,"",gr:nmbssncb:706,Merelbeke -- Eeklo,S52,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:707,Luxembourg (LU) -- Arlon,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:708,Luxembourg (LU) -- Arlon,P,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:709,Luxembourg (LU) -- Gouvy,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:71,Luxembourg (LU) -- Athus,BUS,FFFFFF,3,""
nmbssncb,016AB3,"",gr:nmbssncb:710,Roosendaal (NL) -- Essen,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:711,Roosendaal (NL) -- Anvers-Central,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:712,Roosendaal (NL) -- Essen,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:713,Rotterdam Centraal (NL) -- Bruxelles-Midi,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:714,Maastricht (NL) -- Liège-Guillemins,L,FFFFFF,2,""
nmbssncb,212875,"",gr:nmbssncb:715,Aachen Hbf (DE) -- Liège-Guillemins,S43,FFFFFF,2,""
nmbssncb,212875,"",gr:nmbssncb:716,Heerlen -- Liège-Guillemins,S43,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:717,Bruxelles-Nord -- Bruxelles-Midi,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:718,Brussels Airport-Zaventem -- Tournai,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:719,Brussels Airport-Zaventem -- Enghien,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:72,Schaerbeek -- Brussels Airport-Zaventem,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:720,Brussels Airport-Zaventem -- Ath,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:721,Hal -- Brussels Airport-Zaventem,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:722,Schaerbeek -- Enghien,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:723,Brussels Airport-Zaventem -- Tournai,TRN,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:724,Bruxelles-Nord -- Hal,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:725,Zaventem -- Brussels Airport-Zaventem,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:726,Bruxelles-Nord -- Ath,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:727,Zaventem -- Ath,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:728,Pétange (LU) -- Athus,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:729,Troisvierges (LU) -- Gouvy,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:73,Bruges -- Ostende,IC,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:730,Bruxelles-Nord -- Anvers-Central,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:731,Anvers-Central -- Charleroi-Central,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:732,Anvers-Berchem -- Charleroi-Central,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:733,Malines -- Charleroi-Central,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:734,Vilvorde -- Bruxelles-Midi,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:735,Bruxelles-Midi -- Anvers-Berchem,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:736,Nivelles -- Kontich-Lint,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:737,Nivelles -- Duffel,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:738,Lillois -- Anvers-Central,S1,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:739,Lille Flandres (FR) -- Anvers-Central,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:74,La Panne -- Dixmude,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:740,Anvers-Central -- Mouscron,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:741,Lille Flandres (FR) -- Saint-Nicolas,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:742,Lille Flandres (FR) -- Courtrai,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:743,Lille Flandres (FR) -- Mouscron,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:744,Mouscron -- Saint-Nicolas,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:745,Lille Flandres (FR) -- Gand-Saint-Pierre,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:746,Lille Flandres (FR) -- Beveren,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:747,Lille Flandres (FR) -- Anvers-Berchem,IC,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:748,Bruxelles-Nord -- Nivelles,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:749,Schaerbeek -- Bruxelles-Midi,S1,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:75,Bruges -- Knokke,IC,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:750,Bruxelles-Midi -- Kontich-Lint,S1,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:751,Anvers-Berchem -- Mouscron,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:752,Lille Flandres (FR) -- Lokeren,IC,FFFFFF,2,""
nmbssncb,202875,"",gr:nmbssncb:753,Lille Europe (FR) -- Bruxelles-Midi,S63,FFFFFF,2,""
nmbssncb,202875,"",gr:nmbssncb:754,Erquelinnes -- Charleroi-Central,S63,FFFFFF,2,""
