location_type,parent_station,platform_code,stop_code,stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_url,wheelchair_boarding,zone_id
0,gs:nmbssncb:S8832227,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832227_1,51.087724,5.234375,Beverlo,"",,
0,gs:nmbssncb:S8832235,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8832235,51.0506,5.23589,Beringen,"",,
0,gs:nmbssncb:S8832235,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832235_1,51.0506,5.23589,Beringen,"",,
0,gs:nmbssncb:S8832235,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832235_2,51.0506,5.23589,Beringen,"",,
0,gs:nmbssncb:S8832243,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8832243,51.038205,5.281786,Heusden,"",,
0,gs:nmbssncb:S8832243,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832243_1,51.038205,5.281786,Heusden,"",,
0,gs:nmbssncb:S8832243,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832243_2,51.038205,5.281786,Heusden,"",,
0,gs:nmbssncb:S8832250,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8832250,51.03352,5.330274,Zolder,"",,
0,gs:nmbssncb:S8832250,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832250_1,51.03352,5.330274,Zolder,"",,
0,gs:nmbssncb:S8832334,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8832334,50.98956,5.348813,Zonhoven,"",,
0,gs:nmbssncb:S8832334,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832334_1,50.98956,5.348813,Zonhoven,"",,
0,gs:nmbssncb:S8832375,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8832375,50.954845,5.350226,Kiewit,"",,
0,gs:nmbssncb:S8832375,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8832375_1,50.954845,5.350226,Kiewit,"",,
